"Plant_id" "Plant_sp" "Response" "Anthrenus_sp" "Cardiophorus_sp" "Coleoptera_sp1" "Diptera_sp1" "Diptera_sp10" "Halictidae_sp1" "Heliotaurus_ruficollis" "Lasioglossum_sp2" "Lasioglossum_sp3" "Lobonyx_aeneus" "Microlepidoptera" "Mordellidae_sp1" "Nitidulidae_sp1" "Nustera_distigma" "Rhyncomyia_cupraea" "Plot" "Type" "N_flowers"
"1" "436" "AVEL" 1 0.0391659163880149 0 0.00138815906185369 0 0 0.00208223859278054 0 0 0 0 0 0 0 0 0 "C" "binomial" 43
"2" "436" "AVEL" 1 0.0391659163880149 0 0.00138815906185369 0 0 0.00208223859278054 0 0 0 0 0 0 0 0 0 "C" "binomial" 43
"3" "436" "AVEL" 1 0.0391659163880149 0 0.00138815906185369 0 0 0.00208223859278054 0 0 0 0 0 0 0 0 0 "C" "binomial" 43
"4" "436" "AVEL" 1 0.0391659163880149 0 0.00138815906185369 0 0 0.00208223859278054 0 0 0 0 0 0 0 0 0 "C" "binomial" 43
"5" "436" "AVEL" 1 0.0391659163880149 0 0.00138815906185369 0 0 0.00208223859278054 0 0 0 0 0 0 0 0 0 "C" "binomial" 43
"6" "436" "AVEL" 1 0.0391659163880149 0 0.00138815906185369 0 0 0.00208223859278054 0 0 0 0 0 0 0 0 0 "C" "binomial" 43
"7" "436" "AVEL" 1 0.0391659163880149 0 0.00138815906185369 0 0 0.00208223859278054 0 0 0 0 0 0 0 0 0 "C" "binomial" 43
"8" "436" "AVEL" 1 0.0391659163880149 0 0.00138815906185369 0 0 0.00208223859278054 0 0 0 0 0 0 0 0 0 "C" "binomial" 43
"9" "436" "AVEL" 1 0.0391659163880149 0 0.00138815906185369 0 0 0.00208223859278054 0 0 0 0 0 0 0 0 0 "C" "binomial" 43
"10" "436" "AVEL" 1 0.0391659163880149 0 0.00138815906185369 0 0 0.00208223859278054 0 0 0 0 0 0 0 0 0 "C" "binomial" 43
"11" "436" "AVEL" 1 0.0391659163880149 0 0.00138815906185369 0 0 0.00208223859278054 0 0 0 0 0 0 0 0 0 "C" "binomial" 43
"12" "436" "AVEL" 1 0.0391659163880149 0 0.00138815906185369 0 0 0.00208223859278054 0 0 0 0 0 0 0 0 0 "C" "binomial" 43
"13" "436" "AVEL" 1 0.0391659163880149 0 0.00138815906185369 0 0 0.00208223859278054 0 0 0 0 0 0 0 0 0 "C" "binomial" 43
"14" "436" "AVEL" 1 0.0391659163880149 0 0.00138815906185369 0 0 0.00208223859278054 0 0 0 0 0 0 0 0 0 "C" "binomial" 43
